date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:54	61981/61981	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:20%20GMT	http://www.shivamahindra.in/	C:/Users/HP/Desktop/siva/www.shivamahindra.in/index.html	(from )
11:10:55	1367/1367	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:19%20GMT	http://www.shivamahindra.in/robots.txt		(from )
11:10:55	1501/1501	------	200	untouched ('')	image/png	etag:%225af41df2-5dd%22	http://mahindraimages.dealersites.in/134/favicon.png	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/favicon.png	(from http://www.shivamahindra.in/)
11:10:55	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2005:20:23%20GMT	http://static.girnarsoft.com/css/9c70a4a42bcdfaf818f9fa17f83119f96a3cac98.css	C:/Users/HP/Desktop/siva/static.girnarsoft.com/css/9c70a4a42bcdfaf818f9fa17f83119f96a3cac98.0.delayed	(from http://www.shivamahindra.in/)
11:10:55	1098/1098	------	200	untouched ('OK')	text/css	etag:%22035435b2555f16e14b8b02900ec40996%22	https://static.girnarsoft.com/css/9c70a4a42bcdfaf818f9fa17f83119f96a3cac98.css	C:/Users/HP/Desktop/siva/static.girnarsoft.com/css/9c70a4a42bcdfaf818f9fa17f83119f96a3cac98.css	(from http://www.shivamahindra.in/)
11:10:55	181602/181602	------	200	untouched ('OK')	text/css	etag:W/%225f327776-2c562%22	http://www.shivamahindra.in/themes/mahindra-rise/css/global.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/css/globalbb35.css	(from http://www.shivamahindra.in/)
11:10:55	1601/1601	------	200	untouched ('OK')	text/css	etag:W/%225f327776-641%22	http://www.shivamahindra.in/themes/mahindra-rise/css/red.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/css/redbb35.css	(from http://www.shivamahindra.in/)
11:10:55	49483/49483	------	200	untouched ('OK')	text/css	etag:W/%225f327776-c14b%22	http://www.shivamahindra.in/themes/mahindra-rise/css/media.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/css/mediabb35.css	(from http://www.shivamahindra.in/)
11:10:55	49906/49906	------	200	untouched ('OK')	text/css	etag:W/%225f327776-c2f2%22	http://www.shivamahindra.in/themes/mahindra-rise/css/page.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/css/pagebb35.css	(from http://www.shivamahindra.in/)
11:10:55	53560/53560	------	200	untouched ('OK')	text/css	etag:W/%225f327776-d138%22	http://www.shivamahindra.in/themes/mahindra-rise/css/jquery.mCustomScrollbar.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/css/jquery.mCustomScrollbarbb35.css	(from http://www.shivamahindra.in/)
11:10:55	13092/13092	------	200	untouched ('OK')	text/css	etag:W/%225f327776-3324%22	http://www.shivamahindra.in/css/common.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/css/commonbb35.css	(from http://www.shivamahindra.in/)
11:10:55	298/298	------	200	untouched ('OK')	text/css	etag:%225f327776-12a%22	http://www.shivamahindra.in/css/ftc.css?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/css/ftcbb35.css	(from http://www.shivamahindra.in/)
11:10:55	156/156	------	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Aug%202020%2005:20:27%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Desktop/siva/www.googletagmanager.com/gtm.95445.delayed	(from http://www.shivamahindra.in/)
11:10:56	1379/1379	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:27%20GMT	http://www.shivamahindra.in/phone-popup.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/phone-popup.html	(from http://www.shivamahindra.in/)
11:10:56	1145/1145	------	200	untouched ('')	image/png	etag:%225f327776-479%22	http://www.shivamahindra.in/themes/mahindra-rise/image/mahindra-logo.png	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/image/mahindra-logo.png	(from http://www.shivamahindra.in/)
11:10:56	98924/98924	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:28%20GMT	http://www.shivamahindra.in/new-cars/mahindra-xuv300.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-xuv300.html	(from http://www.shivamahindra.in/)
11:10:56	12614/12614	------	200	untouched ('')	image/jpeg	etag:%223ab1e1c5abd6f1a2f71adaa3d302603e%22	https://stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/XUV300/7239/1597229464960/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/XUV300/7239/1597229464960/front-left-side-47.jpg	(from http://www.shivamahindra.in/)
11:10:56	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2005:20:58%20GMT	https://static.girnarsoft.com/resources/gs_ta-arrow.png	C:/Users/HP/Desktop/siva/static.girnarsoft.com/resources/gs_ta-arrow.12.delayed	(from https://static.girnarsoft.com/css/9c70a4a42bcdfaf818f9fa17f83119f96a3cac98.css)
11:10:56	68214/68214	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:30%20GMT	http://www.shivamahindra.in/new-cars/mahindra-alturas-g4.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-alturas-g4.html	(from http://www.shivamahindra.in/)
11:10:56	10664/10664	------	200	untouched ('')	image/jpeg	etag:%22d210cd1d1e77eb40d8ddb3bec7128cc1%22	https://stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/Alturas-G4/7795/1591247461677/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/Alturas-G4/7795/1591247461677/front-left-side-47.jpg	(from http://www.shivamahindra.in/)
11:10:56	74484/74484	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:31%20GMT	http://www.shivamahindra.in/new-cars/mahindra-xuv500.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-xuv500.html	(from http://www.shivamahindra.in/)
11:10:57	16230/16230	------	200	untouched ('')	image/jpeg	etag:%2255b8b9ef0d5c85642493a9aa1771e506%22	https://stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/XUV500/7798/1588161480616/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/XUV500/7798/1588161480616/front-left-side-47.jpg	(from http://www.shivamahindra.in/)
11:10:57	75780/75780	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:32%20GMT	http://www.shivamahindra.in/new-cars/mahindra-kuv100-nxt.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-kuv100-nxt.html	(from http://www.shivamahindra.in/)
11:10:57	18010/18010	------	200	untouched ('')	image/jpeg	etag:%2257e891eac441b81cca37b48d1179c464%22	https://stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/KUV100-NXT/7789/1587710501104/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/320x224/Mahindra/KUV100-NXT/7789/1587710501104/front-left-side-47.jpg	(from http://www.shivamahindra.in/)
11:10:57	50037/50037	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:34%20GMT	http://www.shivamahindra.in/new-cars.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars.html	(from http://www.shivamahindra.in/)
11:10:57	61652/61652	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:34%20GMT	http://www.shivamahindra.in/finance.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/finance.html	(from http://www.shivamahindra.in/)
11:10:57	54083/54083	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:35%20GMT	http://www.shivamahindra.in/insurance.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/insurance.html	(from http://www.shivamahindra.in/)
11:10:57	49677/49677	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:36%20GMT	http://www.shivamahindra.in/bringshowroomhome.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/bringshowroomhome.html	(from http://www.shivamahindra.in/)
11:10:57	46261/46261	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:36%20GMT	http://www.shivamahindra.in/booktestdrive.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/booktestdrive.html	(from http://www.shivamahindra.in/)
11:10:58	54696/54696	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:37%20GMT	http://www.shivamahindra.in/book-service.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/book-service.html	(from http://www.shivamahindra.in/)
11:10:58	85682/85682	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:37%20GMT	http://www.shivamahindra.in/outlet.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet.html	(from http://www.shivamahindra.in/)
11:10:58	41225/41225	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:20:38%20GMT	http://www.shivamahindra.in/about-us.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/about-us.html	(from http://www.shivamahindra.in/)
